
[3/30/22 09:43AM]  [ Solak ] Player picked up item: Avalon Coins, id: 995, amount: 3698737, owner: Solak
[3/31/22 04:10PM]  [ Avalon ] Player picked up item: Avalon Coins, id: 995, amount: 4188765, owner: Avalon
[3/31/22 04:10PM]  [ Avalon ] Player picked up item: Dragon bones, id: 537, amount: 50, owner: Avalon
[3/31/22 10:54PM]  [ Avalon ] Player picked up item: Avalon Coins, id: 995, amount: 209120, owner: Avalon
[3/31/22 11:02PM]  [ Avalon ] Player picked up item: Upgrade Tokens, id: 12855, amount: 4212, owner: Avalon
[4/2/22 12:15PM]  [ Avalon ] Player picked up item: War gauntlets (T1), id: 23099, amount: 1, owner: Avalon
[4/2/22 12:16PM]  [ Avalon ] Player picked up item: War gauntlets (T2), id: 23100, amount: 1, owner: Avalon
[4/7/22 10:38PM]  [ Test ] Player picked up item: Shortbow, id: 841, amount: 1, owner: Test	
[4/7/22 11:45PM]  [ Test ] Player picked up item: Dragon bones, id: 536, amount: 1, owner: Test	
[4/7/22 11:45PM]  [ Test ] Player picked up item: Avalon Coins, id: 995, amount: 36785, owner: Test	
[4/10/22 01:30PM]  [ Test ] Player picked up item: Inuyasha Sword, id: 5073, amount: 1, owner: Test	
[4/10/22 01:30PM]  [ Test ] Player picked up item: Inuyasha Sword, id: 5073, amount: 1, owner: Test	
[4/10/22 01:30PM]  [ Test ] Player picked up item: Dragon bones, id: 536, amount: 1, owner: Test	
[4/10/22 01:30PM]  [ Test ] Player picked up item: Avalon Coins, id: 995, amount: 73330, owner: Test	
[4/10/22 01:30PM]  [ Test ] Player picked up item: Avalon Coins, id: 995, amount: 69136, owner: Test	
[4/11/22 09:05AM]  [ Test ] Player picked up item: Special Bones, id: 2026, amount: 1, owner: Test	
[4/12/22 09:02AM]  [ Test ] Player picked up item: Avalon Coins, id: 995, amount: 3661219, owner: Test	
[4/12/22 09:02AM]  [ Test ] Player picked up item: Dragon bones, id: 537, amount: 50, owner: Test	
[4/12/22 09:05AM]  [ Test ] Player picked up item: Avalon Coins, id: 995, amount: 3443800, owner: Test	
